#threads N estimate error time
10 10 0.40000000000000002220 2.74159265358979320482 0.000325
10 100 2.43999999999999994671 0.70159265358979316929 0.000243
10 10 0.40000000000000002220 2.74159265358979320482 0.017288
10 10 0.00000000000000000000 3.14159265358979311600 0.015557
10 10 0.40000000000000002220 2.74159265358979320482 0.023688
10 1000 3.00400000000000000355 0.13759265358979311245 0.023469
10 10 0.40000000000000002220 2.74159265358979320482 0.019612
10 100 2.47999999999999998224 0.66159265358979313376 0.022780
10 10 0.40000000000000002220 2.74159265358979320482 0.017925
10 100 2.52000000000000001776 0.62159265358979309823 0.026171
10 10 0.40000000000000002220 2.74159265358979320482 0.027915
10 10 0.00000000000000000000 3.14159265358979311600 0.032285
10 10 0.40000000000000002220 2.74159265358979320482 0.024124
10 100 2.43999999999999994671 0.70159265358979316929 0.031229
10 1000 3.04800000000000004263 0.09359265358979307337 0.020686
10 10000 3.10040000000000004476 0.04119265358979307123 0.041085
10 10 0.00000000000000000000 3.14159265358979311600 0.034790
10 100 2.52000000000000001776 0.62159265358979309823 0.053289
10 100 2.56000000000000005329 0.58159265358979306271 0.035427
10 100 2.43999999999999994671 0.70159265358979316929 0.040763
10 100000 3.12664000000000008583 0.01495265358979303016 0.039265
10 100 2.43999999999999994671 0.70159265358979316929 0.081160
10 10000 3.09960000000000013287 0.04199265358979298313 0.039340
10 100 2.56000000000000005329 0.58159265358979306271 0.050131
10 1000 3.01600000000000001421 0.12559265358979310179 0.073299
10 1000 3.00000000000000000000 0.14159265358979311600 0.052910
10 1000 3.04400000000000003908 0.09759265358979307692 0.024729
10 1000 3.01600000000000001421 0.12559265358979310179 0.037073
10 100 2.39999999999999991118 0.74159265358979320482 0.061123
10 1000 3.01600000000000001421 0.12559265358979310179 0.033118
10 1000 3.01200000000000001066 0.12959265358979310534 0.041800
10 100000 3.13104000000000004533 0.01055265358979307067 0.028558
10 1000000 3.13498799999999988586 0.00660465358979323014 0.050659
10 10000 3.11560000000000014708 0.02599265358979296892 0.039772
10 1000 3.03600000000000003197 0.10559265358979308402 0.012457
10 1000 3.02000000000000001776 0.12159265358979309823 0.050644
10 10000 3.11560000000000014708 0.02599265358979296892 0.041749
10 10000 3.10840000000000005187 0.03319265358979306413 0.039881
10 10000 3.09560000000000012932 0.04599265358979298668 0.052892
10 10000 3.10080000000000000071 0.04079265358979311529 0.059412
10 10000 3.10159999999999991260 0.03999265358979320339 0.056523
10 10000 3.11560000000000014708 0.02599265358979296892 0.058153
10 100000 3.12324000000000001620 0.01835265358979309980 0.047982
10 1000000 3.13512399999999979983 0.00646865358979331617 0.045648
